temperature_K,temperature_C,system_pressure_Pa,system_pressure_mbar,vapor_pressure_Pa,vapor_pressure_mbar,pressure_ratio,will_evaporate,evaporation_rate,method
293.0,19.850000000000023,1000.0,10.0,1.9736133513848118,0.019736133513848116,0.001973613351384812,False,None,Lee-Kesler
293.0,19.850000000000023,2000.0,20.0,1.9736133513848118,0.019736133513848116,0.000986806675692406,False,None,Lee-Kesler
293.0,19.850000000000023,3000.0,30.0,1.9736133513848118,0.019736133513848116,0.0006578711171282706,False,None,Lee-Kesler
293.0,19.850000000000023,4000.0,40.0,1.9736133513848118,0.019736133513848116,0.000493403337846203,False,None,Lee-Kesler
293.0,19.850000000000023,5000.0,50.0,1.9736133513848118,0.019736133513848116,0.00039472267027696237,False,None,Lee-Kesler
293.0,19.850000000000023,6000.0,60.0,1.9736133513848118,0.019736133513848116,0.0003289355585641353,False,None,Lee-Kesler
293.0,19.850000000000023,7000.0,70.0,1.9736133513848118,0.019736133513848116,0.0002819447644835445,False,None,Lee-Kesler
293.0,19.850000000000023,8000.0,80.0,1.9736133513848118,0.019736133513848116,0.0002467016689231015,False,None,Lee-Kesler
293.0,19.850000000000023,9000.0,90.0,1.9736133513848118,0.019736133513848116,0.0002192903723760902,False,None,Lee-Kesler
293.0,19.850000000000023,10000.0,100.0,1.9736133513848118,0.019736133513848116,0.00019736133513848119,False,None,Lee-Kesler
293.0,19.850000000000023,11000.0,110.0,1.9736133513848118,0.019736133513848116,0.00017941939558043744,False,None,Lee-Kesler
293.0,19.850000000000023,12000.0,120.0,1.9736133513848118,0.019736133513848116,0.00016446777928206765,False,None,Lee-Kesler
293.0,19.850000000000023,13000.0,130.0,1.9736133513848118,0.019736133513848116,0.00015181641164498553,False,None,Lee-Kesler
293.0,19.850000000000023,14000.0,140.0,1.9736133513848118,0.019736133513848116,0.00014097238224177226,False,None,Lee-Kesler
293.0,19.850000000000023,15000.0,150.0,1.9736133513848118,0.019736133513848116,0.00013157422342565411,False,None,Lee-Kesler
293.0,19.850000000000023,16000.0,160.0,1.9736133513848118,0.019736133513848116,0.00012335083446155074,False,None,Lee-Kesler
293.0,19.850000000000023,17000.0,170.0,1.9736133513848118,0.019736133513848116,0.00011609490302263599,False,None,Lee-Kesler
293.0,19.850000000000023,18000.0,180.0,1.9736133513848118,0.019736133513848116,0.0001096451861880451,False,None,Lee-Kesler
293.0,19.850000000000023,19000.0,190.0,1.9736133513848118,0.019736133513848116,0.0001038743869149901,False,None,Lee-Kesler
293.0,19.850000000000023,20000.0,200.0,1.9736133513848118,0.019736133513848116,9.868066756924059e-05,False,None,Lee-Kesler
313.0,39.85000000000002,1000.0,10.0,10.96559817130231,0.1096559817130231,0.01096559817130231,False,None,Lee-Kesler
313.0,39.85000000000002,2000.0,20.0,10.96559817130231,0.1096559817130231,0.005482799085651155,False,None,Lee-Kesler
313.0,39.85000000000002,3000.0,30.0,10.96559817130231,0.1096559817130231,0.003655199390434103,False,None,Lee-Kesler
313.0,39.85000000000002,4000.0,40.0,10.96559817130231,0.1096559817130231,0.0027413995428255773,False,None,Lee-Kesler
313.0,39.85000000000002,5000.0,50.0,10.96559817130231,0.1096559817130231,0.0021931196342604617,False,None,Lee-Kesler
313.0,39.85000000000002,6000.0,60.0,10.96559817130231,0.1096559817130231,0.0018275996952170515,False,None,Lee-Kesler
313.0,39.85000000000002,7000.0,70.0,10.96559817130231,0.1096559817130231,0.0015665140244717584,False,None,Lee-Kesler
313.0,39.85000000000002,8000.0,80.0,10.96559817130231,0.1096559817130231,0.0013706997714127886,False,None,Lee-Kesler
313.0,39.85000000000002,9000.0,90.0,10.96559817130231,0.1096559817130231,0.0012183997968113678,False,None,Lee-Kesler
313.0,39.85000000000002,10000.0,100.0,10.96559817130231,0.1096559817130231,0.0010965598171302309,False,None,Lee-Kesler
313.0,39.85000000000002,11000.0,110.0,10.96559817130231,0.1096559817130231,0.0009968725610274827,False,None,Lee-Kesler
313.0,39.85000000000002,12000.0,120.0,10.96559817130231,0.1096559817130231,0.0009137998476085258,False,None,Lee-Kesler
313.0,39.85000000000002,13000.0,130.0,10.96559817130231,0.1096559817130231,0.0008435075516386391,False,None,Lee-Kesler
313.0,39.85000000000002,14000.0,140.0,10.96559817130231,0.1096559817130231,0.0007832570122358792,False,None,Lee-Kesler
313.0,39.85000000000002,15000.0,150.0,10.96559817130231,0.1096559817130231,0.0007310398780868207,False,None,Lee-Kesler
313.0,39.85000000000002,16000.0,160.0,10.96559817130231,0.1096559817130231,0.0006853498857063943,False,None,Lee-Kesler
313.0,39.85000000000002,17000.0,170.0,10.96559817130231,0.1096559817130231,0.0006450351865471946,False,None,Lee-Kesler
313.0,39.85000000000002,18000.0,180.0,10.96559817130231,0.1096559817130231,0.0006091998984056839,False,None,Lee-Kesler
313.0,39.85000000000002,19000.0,190.0,10.96559817130231,0.1096559817130231,0.0005771367458580163,False,None,Lee-Kesler
313.0,39.85000000000002,20000.0,200.0,10.96559817130231,0.1096559817130231,0.0005482799085651154,False,None,Lee-Kesler
333.0,59.85000000000002,1000.0,10.0,48.32368279672471,0.4832368279672471,0.048323682796724714,False,None,Lee-Kesler
333.0,59.85000000000002,2000.0,20.0,48.32368279672471,0.4832368279672471,0.024161841398362357,False,None,Lee-Kesler
333.0,59.85000000000002,3000.0,30.0,48.32368279672471,0.4832368279672471,0.016107894265574903,False,None,Lee-Kesler
333.0,59.85000000000002,4000.0,40.0,48.32368279672471,0.4832368279672471,0.012080920699181178,False,None,Lee-Kesler
333.0,59.85000000000002,5000.0,50.0,48.32368279672471,0.4832368279672471,0.009664736559344942,False,None,Lee-Kesler
333.0,59.85000000000002,6000.0,60.0,48.32368279672471,0.4832368279672471,0.008053947132787452,False,None,Lee-Kesler
333.0,59.85000000000002,7000.0,70.0,48.32368279672471,0.4832368279672471,0.006903383256674959,False,None,Lee-Kesler
333.0,59.85000000000002,8000.0,80.0,48.32368279672471,0.4832368279672471,0.006040460349590589,False,None,Lee-Kesler
333.0,59.85000000000002,9000.0,90.0,48.32368279672471,0.4832368279672471,0.0053692980885249675,False,None,Lee-Kesler
333.0,59.85000000000002,10000.0,100.0,48.32368279672471,0.4832368279672471,0.004832368279672471,False,None,Lee-Kesler
333.0,59.85000000000002,11000.0,110.0,48.32368279672471,0.4832368279672471,0.0043930620724295195,False,None,Lee-Kesler
333.0,59.85000000000002,12000.0,120.0,48.32368279672471,0.4832368279672471,0.004026973566393726,False,None,Lee-Kesler
333.0,59.85000000000002,13000.0,130.0,48.32368279672471,0.4832368279672471,0.003717206368978824,False,None,Lee-Kesler
333.0,59.85000000000002,14000.0,140.0,48.32368279672471,0.4832368279672471,0.0034516916283374795,False,None,Lee-Kesler
333.0,59.85000000000002,15000.0,150.0,48.32368279672471,0.4832368279672471,0.0032215788531149807,False,None,Lee-Kesler
333.0,59.85000000000002,16000.0,160.0,48.32368279672471,0.4832368279672471,0.0030202301747952946,False,None,Lee-Kesler
333.0,59.85000000000002,17000.0,170.0,48.32368279672471,0.4832368279672471,0.0028425695762779243,False,None,Lee-Kesler
333.0,59.85000000000002,18000.0,180.0,48.32368279672471,0.4832368279672471,0.0026846490442624838,False,None,Lee-Kesler
333.0,59.85000000000002,19000.0,190.0,48.32368279672471,0.4832368279672471,0.002543351726143406,False,None,Lee-Kesler
333.0,59.85000000000002,20000.0,200.0,48.32368279672471,0.4832368279672471,0.0024161841398362355,False,None,Lee-Kesler
